"FiscalYear","County","Department","FundType","RegionCode","RegionName","Program","Budget","ActualSpend","Beneficiaries"
2020,"Butte","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",111.7,128.2,107805
2021,"Butte","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",110.3,95.2,313662
2022,"Butte","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",150.7,139.5,310682
2023,"Butte","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",153.6,130.7,481624
2024,"Butte","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",58.8,55.3,85011
2020,"Colusa","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",119,102.5,104244
2021,"Colusa","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",125.8,125.2,223648
2022,"Colusa","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",73.6,74.7,427805
2023,"Colusa","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",95.4,105.7,471786
2024,"Colusa","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",80,68.1,214041
2020,"El Dorado","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",67.5,77.6,235909
2021,"El Dorado","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",177.7,151.3,212454
2022,"El Dorado","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",101,106.6,143581
2023,"El Dorado","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Public Health",59.3,68,216191
2024,"El Dorado","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",146.8,157,218573
2020,"Glenn","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Mental Health",164.6,170.9,351767
2021,"Glenn","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",130.5,114.2,394993
2022,"Glenn","Health","General Fund","Region 1","Sacramento Valley & Sierra Foothills","Medicaid",125.4,129.4,344608
